id,reference_number,status,subscription_id,state,grand_total,subtotal,tax_amount,total_due,total_invoiced,total_item_count,total_paid,total_qty_ordered,total_refunded,discount_amount,order_currency_code,giftcert_amount,coupon_code,coupon_rule_name,customer_group_id,customer_account_id,customer_is_guest,shipping_amount,shipping_description,shipping_discount_amount,shipping_hidden_tax_amount,shipping_incl_tax,shipping_invoiced,shipping_method,shipping_refunded,how_did_you_hear,how_did_you_hear_other,created_at,updated_at,order_has_subscription,order_has_ecommerce,customer_email,customer_fname,customer_lname
212455,100199306,complete,,complete,0,0,0,0,0,1,0,1,,0,USD,0,null,null,1,1647,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2014 15:22,12/11/2014 4:27,1,0,PZF0BOW85@WDJHU.PRD,CUHTTRYA,YRBOW
887,100000801,complete,,complete,4.99,15,0,0,4.99,1,4.99,1,,-10.01,USD,,GET499,Content Banner Coupon,1,908,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/29/2012 19:45,9/11/2012 3:39,1,0,KYHJO.CYJO.1337@WDJHU.PRD,BYHJO,TYJO
1231,100001129,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,485,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,9/1/2012 23:03,9/11/2012 3:32,1,0,DPRUQ70@OFPJS.YY.PRD,MHPNJQU,CRUQ
107253,100099177,complete,,complete,40.5,45,0,,40.5,1,40.5,1,,-4.5,USD,0,DADS10,Fathers Day 10% off gifts,0,,1,0,null,0,0,0,0,null,,null,null,5/29/2014 14:13,5/29/2014 14:13,0,0,NRTTDJO1222@WDJHU.PRD,BRIDGET,PFLUG
11991,100010932,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1722,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,2/1/2013 16:55,2/19/2013 1:42,1,0,NRIJYAIJAQTHMN2660@FJNRR.PRD,HOWARD,ODOM
11624,100010569,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,2/1/2013 11:08,2/19/2013 1:41,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
236846,100222422,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,971,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2015 17:00,1/13/2015 1:04,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
96697,100089305,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1363,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/1/2014 5:40,5/1/2014 5:40,1,0,OJCJUFJ.NJVVJYA@WDJHU.PRD,OJCJUFJ,NJVVJYA
38811,100035660,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,530,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/1/2013 6:41,8/1/2013 6:41,1,0,PRKFKQPXOQY@SUJCQJBCQU.OQC,CRKF,BQPXOQY
664715,100637720,complete,,complete,81,90,0,,81,1,81,1,,-9,USD,0,GIFTS10PCT,10% Off Gifts,0,,1,0,null,0,,0,0,null,,null,null,12/8/2015 20:33,12/8/2015 20:33,0,0,KDJVBY@PNJYCQY.OQC,GJUQ,MJVBY
